Brand,Program URL,Contact Name,Contact Email,Channel (Email/LinkedIn/Form),Last Contact Date,Response Status,Offer Type (Affiliate/Referral/Sponsorship),Commission/Rate,Negotiation Notes,Next Follow-up Date,Owner
Black Diamond Equipment,https://www.blackdiamondequipment.com/,,,Form,,Lead,Sponsorship+Affiliate,,,,
Mining Gear Partners (Category),,,,LinkedIn,,Lead,Sponsorship+Affiliate,,,,
Colombia Partners (Tourism/Outdoor),,,,Email,,Lead,Sponsorship+Affiliate,,,,
Lenovo,https://www.lenovo.com/,,,Form,,Lead,Sponsorship+Affiliate,,,,
